Problem,,,Constructive algorithm,,,Local search,,GRASP,,Known Best Solution
Name,n,m,Randomized-1,Greedy-1,Semi-greedy-1,Local-1,,GRASP-1,,
,,,,,,No. of iterations,Best value,No. of iterations,Best value,
G1,800,19176,11451,11460,11448,157,11364,50,11491,12078
G2,800,19176,11448,11491,11460,155,11368,50,11491,12084
G3,800,19176,11444,11492,11458,154,11361,50,11492,12077
G4,800,19176,11459,11492,11483,158,11373,50,11500,
G5,800,19176,11463,11521,11490,156,11369,50,11521,
G6,800,19176,2001,2022,2022,165,1907,50,2032,
G7,800,19176,1836,1839,1857,163,1741,50,1857,
G8,800,19176,1842,1854,1839,162,1747,50,1871,
G9,800,19176,1882,1892,1899,162,1787,50,1899,
G10,800,19176,1828,1864,1865,163,1742,50,1867,
G11,800,1600,465,506,494,14,446,50,506,627
G12,800,1600,452,502,496,15,433,50,502,621
G13,800,1600,479,526,526,17,457,50,526,645
G14,800,4694,2967,2992,2986,47,2940,50,2992,3187
G15,800,4661,2941,2969,2972,48,2921,50,2972,3169
G16,800,4672,2949,2975,2978,47,2925,50,2978,3172
G17,800,4667,2946,2976,2972,49,2923,50,2976,
G18,800,4694,874,911,930,72,834,50,930,
G19,800,4661,794,836,825,74,751,50,836,
G20,800,4672,812,880,849,71,779,50,880,
G21,800,4667,814,852,850,76,775,50,852,
G22,2000,19990,12895,13019,13002,239,12829,20,13019,14123
G23,2000,19990,12898,13014,13004,235,12828,20,13014,14129
G24,2000,19990,12883,13009,12988,239,12829,20,13009,14131
G25,2000,19990,12886,13029,13013,240,12826,20,13029,
G26,2000,19990,12882,13020,12981,244,12828,15,13020,
G27,2000,19990,2871,2979,2950,259,2820,15,2979,
G28,2000,19990,2842,2939,2892,256,2785,15,2939,
G29,2000,19990,2939,3037,3024,256,2881,15,3037,
G30,2000,19990,2942,3093,2991,259,2878,15,3093,
G31,2000,19990,2846,2921,2935,258,2793,10,2921,
G32,2000,4000,1128,1234,1224,39,1110,10,1234,1560
G33,2000,4000,1097,1222,1210,38,1082,10,1222,1537
G34,2000,4000,1091,1210,1216,41,1079,10,1210,1541
G35,2000,11778,7389,7450,7470,120,7368,10,7450,8000
G36,2000,11766,7376,7460,7450,120,7358,10,7460,7996
G37,2000,11785,7393,7487,7460,119,7374,10,7487,8009
G38,2000,11779,7386,7472,7449,120,7364,10,7472,
G39,2000,11778,2057,2157,2145,179,2016,10,2157,
G40,2000,11766,2031,2164,2120,191,1994,10,2164,
G41,2000,11785,2040,2163,2124,179,2004,10,2163,
G42,2000,11779,2114,2242,2186,185,2082,10,2242,
G43,1000,9990,6436,6500,6499,118,6399,10,6500,7027
G44,1000,9990,6433,6497,6477,120,6400,10,6497,7022
G45,1000,9990,6441,6501,6478,115,6399,10,6501,7020
G46,1000,9990,6434,6503,6482,118,6401,10,6503,
G47,1000,9990,6457,6514,6491,126,6410,10,6514,
G48,3000,6000,5134,6000,6000,70,5164,10,6000,6000
G49,3000,6000,5136,6000,6000,68,5162,10,6000,6000
G50,3000,6000,5149,5880,5880,68,5152,10,5880,5988
G51,1000,5909,3706,3753,3738,59,3691,10,3753,
G52,1000,5916,3710,3752,3753,58,3694,10,3752,
G53,1000,5914,3706,3743,3732,59,3691,10,3743,
G54,1000,5916,3706,3749,3743,58,3691,10,3749,
