Problem,,,Constructive algorithm,,Local search,,GRASP,
Name,n,m,alpha,Semi-greedy-1,Local-1,,GRASP-1,
,,,,,No. of iterations,Best value,No. of iterations,Best value
G1,800,19176,0,11328,116,11369,50,11448
,,,0,11388,,,,
,,,0.01,11297,,,,
,,,0.03,11399,,,,
,,,0.04,11361,,,,
,,,0.09,11341,,,,
,,,0.11,11448,,,,
,,,0.14,11288,,,,
,,,0.16,11315,,,,
,,,0.17,11409,,,,
,,,0.22,11348,,,,
,,,0.25,11356,,,,
,,,0.26,11305,,,,
,,,0.31,11371,,,,
,,,0.34,11348,,,,
,,,0.35,11348,,,,
,,,0.35,11360,,,,
,,,0.35,11380,,,,
,,,0.36,11317,,,,
,,,0.36,11412,,,,
,,,0.39,11331,,,,
,,,0.42,11329,,,,
,,,0.42,11373,,,,
,,,0.42,11373,,,,
,,,0.43,11389,,,,
,,,0.52,11403,,,,
,,,0.53,11396,,,,
,,,0.54,11331,,,,
,,,0.58,11373,,,,
,,,0.61,11436,,,,
,,,0.63,11389,,,,
,,,0.65,11362,,,,
,,,0.68,11397,,,,
,,,0.69,11400,,,,
,,,0.71,11376,,,,
,,,0.72,11366,,,,
,,,0.74,11390,,,,
,,,0.75,11327,,,,
,,,0.77,11353,,,,
,,,0.8,11398,,,,
,,,0.82,11428,,,,
,,,0.84,11402,,,,
,,,0.85,11440,,,,
,,,0.87,11357,,,,
,,,0.89,11367,,,,
,,,0.9,11425,,,,
,,,0.91,11364,,,,
,,,0.92,11350,,,,
,,,0.98,11385,,,,
,,,0.99,11358,,,,
G2,800,19176,0.02,11311,113,11381,50,11460
,,,0.02,11362,,,,
,,,0.05,11358,,,,
,,,0.07,11342,,,,
,,,0.07,11379,,,,
,,,0.12,11372,,,,
,,,0.14,11353,,,,
,,,0.15,11363,,,,
,,,0.18,11438,,,,
,,,0.19,11279,,,,
,,,0.19,11444,,,,
,,,0.2,11342,,,,
,,,0.21,11341,,,,
,,,0.21,11358,,,,
,,,0.23,11370,,,,
,,,0.28,11383,,,,
,,,0.29,11381,,,,
,,,0.35,11325,,,,
,,,0.35,11411,,,,
,,,0.5,11412,,,,
,,,0.52,11436,,,,
,,,0.55,11372,,,,
,,,0.56,11359,,,,
,,,0.56,11419,,,,
,,,0.59,11354,,,,
,,,0.61,11429,,,,
,,,0.64,11397,,,,
,,,0.64,11425,,,,
,,,0.65,11344,,,,
,,,0.65,11413,,,,
,,,0.66,11444,,,,
,,,0.68,11421,,,,
,,,0.7,11419,,,,
,,,0.71,11371,,,,
,,,0.75,11362,,,,
,,,0.76,11380,,,,
,,,0.79,11422,,,,
,,,0.8,11375,,,,
,,,0.82,11338,,,,
,,,0.82,11360,,,,
,,,0.85,11360,,,,
,,,0.87,11447,,,,
,,,0.89,11341,,,,
,,,0.9,11426,,,,
,,,0.95,11397,,,,
,,,0.96,11342,,,,
,,,0.97,11382,,,,
,,,0.97,11388,,,,
,,,0.97,11460,,,,
,,,0.99,11364,,,,
G3,800,19176,0,11326,120,11382,50,11458
,,,0,11369,,,,
,,,0.01,11313,,,,
,,,0.03,11353,,,,
,,,0.04,11350,,,,
,,,0.09,11385,,,,
,,,0.11,11395,,,,
,,,0.14,11363,,,,
,,,0.16,11405,,,,
,,,0.17,11345,,,,
,,,0.22,11370,,,,
,,,0.25,11406,,,,
,,,0.26,11399,,,,
,,,0.31,11324,,,,
,,,0.34,11376,,,,
,,,0.35,11363,,,,
,,,0.35,11365,,,,
,,,0.35,11410,,,,
,,,0.36,11312,,,,
,,,0.36,11318,,,,
,,,0.39,11416,,,,
,,,0.42,11395,,,,
,,,0.42,11400,,,,
,,,0.42,11413,,,,
,,,0.43,11328,,,,
,,,0.52,11458,,,,
,,,0.53,11405,,,,
,,,0.54,11326,,,,
,,,0.58,11386,,,,
,,,0.61,11439,,,,
,,,0.63,11364,,,,
,,,0.65,11378,,,,
,,,0.68,11363,,,,
,,,0.69,11375,,,,
,,,0.71,11434,,,,
,,,0.72,11339,,,,
,,,0.74,11392,,,,
,,,0.75,11415,,,,
,,,0.77,11343,,,,
,,,0.8,11454,,,,
,,,0.82,11327,,,,
,,,0.84,11432,,,,
,,,0.85,11435,,,,
,,,0.87,11438,,,,
,,,0.89,11408,,,,
,,,0.9,11379,,,,
,,,0.91,11407,,,,
,,,0.92,11418,,,,
,,,0.98,11395,,,,
,,,0.99,11406,,,,
G4,800,19176,0,11329,123,11395,50,11483
,,,0,11361,,,,
,,,0.01,11414,,,,
,,,0.03,11380,,,,
,,,0.04,11375,,,,
,,,0.09,11384,,,,
,,,0.11,11348,,,,
,,,0.14,11437,,,,
,,,0.16,11414,,,,
,,,0.17,11294,,,,
,,,0.22,11365,,,,
,,,0.25,11360,,,,
,,,0.26,11383,,,,
,,,0.31,11357,,,,
,,,0.34,11467,,,,
,,,0.35,11355,,,,
,,,0.35,11388,,,,
,,,0.35,11389,,,,
,,,0.36,11382,,,,
,,,0.36,11391,,,,
,,,0.39,11434,,,,
,,,0.42,11337,,,,
,,,0.42,11407,,,,
,,,0.42,11441,,,,
,,,0.43,11414,,,,
,,,0.52,11408,,,,
,,,0.53,11389,,,,
,,,0.54,11353,,,,
,,,0.58,11436,,,,
,,,0.61,11371,,,,
,,,0.63,11414,,,,
,,,0.65,11395,,,,
,,,0.68,11379,,,,
,,,0.69,11483,,,,
,,,0.71,11412,,,,
,,,0.72,11410,,,,
,,,0.74,11433,,,,
,,,0.75,11403,,,,
,,,0.77,11434,,,,
,,,0.8,11414,,,,
,,,0.82,11387,,,,
,,,0.84,11389,,,,
,,,0.85,11405,,,,
,,,0.87,11350,,,,
,,,0.89,11373,,,,
,,,0.9,11442,,,,
,,,0.91,11411,,,,
,,,0.92,11438,,,,
,,,0.98,11383,,,,
,,,0.99,11454,,,,
G5,800,19176,0.02,11364,113,11391,50,11490
,,,0.02,11426,,,,
,,,0.05,11392,,,,
,,,0.07,11332,,,,
,,,0.07,11375,,,,
,,,0.12,11384,,,,
,,,0.14,11326,,,,
,,,0.15,11333,,,,
,,,0.18,11395,,,,
,,,0.19,11307,,,,
,,,0.19,11339,,,,
,,,0.2,11296,,,,
,,,0.21,11352,,,,
,,,0.21,11395,,,,
,,,0.23,11387,,,,
,,,0.28,11443,,,,
,,,0.29,11338,,,,
,,,0.35,11397,,,,
,,,0.35,11402,,,,
,,,0.5,11415,,,,
,,,0.52,11381,,,,
,,,0.55,11411,,,,
,,,0.56,11386,,,,
,,,0.56,11421,,,,
,,,0.59,11490,,,,
,,,0.61,11380,,,,
,,,0.64,11373,,,,
,,,0.64,11384,,,,
,,,0.65,11383,,,,
,,,0.65,11457,,,,
,,,0.66,11347,,,,
,,,0.68,11389,,,,
,,,0.7,11430,,,,
,,,0.71,11425,,,,
,,,0.75,11409,,,,
,,,0.76,11406,,,,
,,,0.79,11404,,,,
,,,0.8,11350,,,,
,,,0.82,11395,,,,
,,,0.82,11399,,,,
,,,0.85,11433,,,,
,,,0.87,11414,,,,
,,,0.89,11380,,,,
,,,0.9,11350,,,,
