Problem,,,Constructive algorithm,,,Local search,,GRASP
Name,n,m,Randomized-1,Greedy-1,Semi-greedy-1,Local-1,,GRASP-1
,,,,,,No. of iterations,Best value,No. of iterations,Best value
G41,2000,11785,2040,2163,2124,179,2004,10,2163
G42,2000,11779,2114,2242,2186,185,2082,10,2242
G43,1000,9990,6436,6500,6499,118,6399,10,6500
G44,1000,9990,6433,6497,6477,120,6400,10,6497
G45,1000,9990,6441,6501,6478,115,6399,10,6501
G46,1000,9990,6434,6503,6482,118,6401,10,6503
G47,1000,9990,6457,6514,6491,126,6410,10,6514
G48,3000,6000,5134,6000,6000,70,5164,10,6000
G49,3000,6000,5136,6000,6000,68,5162,10,6000
G50,3000,6000,5149,5880,5880,68,5152,10,5880
